Sample,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60, 
OTU25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OTU26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000392179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OTU27,0.038663484,0.033316248,0.054594272,0.064535769,0.131052436,0.180956067,0.220657277,0.215726496,0.002254912,0.003763752,0.000390244,0.002259522,0.001787082,0.004545455,0,0.024336587,0.008392857,0.006179197,0.017947538,0.009689275,0.01461039,0.012301384,0.036959882,0.043578739,0.07903602,0.045503558,0.007039893,0.078286082,0.061202577,0.148669495,0.00034638,0,0.020186335,0,0.001736792,0.012888066,0.000728185,0.136046314,0.004262373,0.101036118,0.026587426,0.093414779,0.123977116,0.013650043,0.001467232,0.002149671,0.047731569,0.004298643,0.027076761,0.036685903,0.013420724,0,0.006198347,0.05152,0.028882731,0.263411619,0.022720478,0.021499738,0.174838113,0.04860393,
OTU28,0,0,0,0,0,0,0,0,0,0,0,0,0.000204238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000489077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OTU29,0,0,0,0,0.000818148,0.000451584,0.00147552,0.001196581,0,0,0,0,0.000816952,0.0004995,0,0.000687474,0,0,0,0,0,0,0.000604798,0,0.000777403,0.000754798,0,0,0,0,0,0,0,0,0.000672307,0.000498433,0.000323638,0,0,0,0,0,0,0.000394096,0,0,0,0,0.001577287,0,0,0,0,0.00112,0,0.000618047,0,0,0,0,
OTU30,0,0,0.000447494,0,0.000446263,0,0,0,0,0.000506659,0.000585366,0.000322789,0.001378606,0.001023976,0,0.000893716,0.0000714,0,0,0,0,0.001025115,0.000436799,0.001320568,0,0.000970455,0.000916303,0,0.001431639,0,0.000940175,0.003074274,0,0.00057323,0.000784358,0.000284819,0.001780007,0,0,0.000117075,0,0,0,0,0,0,0,0,0,0,0,0.001671542,0,0.00096,0.000657493,0,0,0,0,0.000827301,
OTU31,0,0,0,0,0,0.000129024,0,0,0.000644261,0,0,0.001129761,0.000612714,0.001348651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000392179,0,0,0.000510812,0,0.00076099,0.00046919,0,0.001303498,0.000286615,0,0,0,0.000904977,0,0,0,0,0,0,0,0,0,0,0,0,
OTU32,0.000477327,0.000768836,0,0,0,0.000193536,0,0,0,0,0,0,0.000204238,0,0,0,0.000107143,0,0,0,0,0,0,0,0,0,0.000156442,0,0,0,0,0,0,0,0.000168077,0,0,0,0,0,0,0,0,0.000250788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OTU33,0,0,0,0,0,0,0,0.001367521,0.000966391,0,0,0,0.000510595,0,0,0.002956139,0.001607143,0,0.018867925,0,0,0,0.00315839,0.005282271,0,0.002480052,0.008984244,0,0.004652827,0.009448515,0,0,0,0,0,0.004557106,0,0.003916227,0.001420791,0.000878066,0,0,0.001737997,0.000250788,0.001793283,0,0,0.01040724,0,0.020197857,0,0,0,0.00528,0,0.007292954,0.003587444,0,0.008325624,0.003516029,
OTU34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
